# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
133731552548.48213,137226970179.26422,14323.567289675311,-13958.077774469535,-185707818533.8539,47201436704.88617,4926.266295851902,19383.612032909376,51976265985.37081,-184428406884.15164,-19249.833585527274,-5425.534258439875
135156598876.89941,135823712950.22076,14177.100499542164,-14106.811948660705,-185205085289.66678,49137191641.38712,5128.307264178928,19331.135158938876,50048486412.76626,-184960904591.60904,-19305.407763721167,-5224.323210278217
136566921174.9006,134405659014.96822,14029.08935588427,-14254.00921166478,-184682175706.8021,51067593546.60601,5329.78940513694,19276.55237998999,48115254531.90048,-185473252561.57535,-19358.878761021297,-5022.5431683252555
137962365812.12717,132972962867.75883,13879.54998648022,-14399.653528884077,-184139146766.02792,52992432125.62369,5530.690768467723,19219.869645829836,46176780953.89978,-185965394993.38348,-19410.240754948023,-4820.216116945794
139342780779.33685,131525780597.85614,13728.498685581142,-14543.729034981681,-183576057639.9907,54911497689.94295,5730.989467260889,19161.09313502533,44233276860.652664,-186437278287.79993,-19459.488152842096,-4617.364100043703
140708015704.96216,130064269872.52184,13575.951912133754,-14686.220035609602,-182992969686.7605,56824581180.33547,5930.663680339026,19100.229254268514,42284953981.79702,-186888851052.85834,-19506.615592472834,-4414.009218658954
142057921871.49066,128588589919.83194,13421.926287985496,-14827.111009118327,-182389946443.13968,58731474189.619286,6129.691654635636,19037.28463767673,40332024571.64793,-187320064109.45255,-19551.617942621182,-4210.173628558437
143392352231.66367,127098901511.32188,13266.438596071906,-14966.386608247543,-181767053617.73343,60631968985.365364,6328.051707565643,18972.26614606835,38374701386.0685,-187730870496.6885,-19594.490303637576,-4005.879537820837
144711161424.4946,125595366944.46404,13109.505778586436,-15104.031661797744,-181124359083.78195,62525858532.53045,6525.722229388115,18905.180866213555,36413197659.28604,-188121225476.99573,-19635.22800797458,-3801.1492044158585
146014205791.10248,124078150024.97867,12951.144935132987,-15240.031176282648,-180461932871.75983,64412936516.013695,6722.681685561115,18836.03611006059,34447727080.656235,-188491086540.9934,-19673.826620694133,-3596.004933777989
147301343390.3591,122547416048.98094,12791.373320861208,-15374.370337562275,-179779847161.73807,66292997363.134834,6918.908619088251,18764.83941393742,32478503771.37791,-188840413412.11697,-19710.28193994949,-3390.469076375177
148572434014.35037,121003331784.9654,12630.208344584951,-15507.034512456334,-179078176275.5127,68165836266.03131,7114.381652856744,18691.598537728896,30505742261.160927,-189169168050.9978,-19744.589997441708,-3184.564025272587
149827339203.64792,119446065455.62996,12467.667566883896,-15638.009250337998,-178356996668.4988,70031249203.9717,7309.079491966791,18616.321464029723,28529657464.849495,-189477314659.6028,-19776.74705885071,-2978.3122136917636
151065922262.3899,117875786719.54213,12303.768698188738,-15767.28028470758,-177616386921.39536,71889032965.58316,7502.980926051923,18539.016397272975,26550464659.00399,-189764819685.12628,-19806.749624240692,-2771.7361125654356
152288048273.1695,116292666652.64818,12138.529596850016,-15894.83353474631,-176856427731.61423,73738985170.99106,7696.06483159009,18459.691762834493,24568379458.443134,-190031651823.64032,-19834.594428440123,-2564.858228088234
153493584111.72986,114696877729.6281,11971.968267190867,-16020.655106849665,-176077201904.48108,75580904293.86691,7888.310174205266,18378.356206113218,22583617792.749786,-190277782023.49622,-19860.27844139615,-2357.701099263611
154682398461.46365,113088593805.09871,11804.102857543801,-16144.731296140359,-175278794344.20746,77414589683.38452,8079.696010959304,18295.0185915875,20596395882.742287,-190503183488.4846,-19883.798868503127,-2150.2872954472227
155854361827.7147,111467990094.6657,11634.951658271939,-16267.048587960742,-174461292044.63058,79239841586.0791,8270.201492633809,18209.688001847648,18606930216.91449,-190707831680.7462,-19905.153150905764,-1942.6394138869914
157009346551.88165,109835243155.8282,11464.533099774684,-16387.59365934442,-173624784079.72952,81056461167.60931,8459.805866001712,18122.373736604543,16615437527.846584,-190891704323.43915,-19924.338965776406,-1734.7800772602059
158147226825.32135,108190530868.73726,11292.865750478186,-16506.35338046689,-172769361593.9118,82864250534.41873,8648.488476088374,18033.085311674688,14622134768.58957,-191054781403.15744,-19941.354226566582,-1526.7319312078616
159267878703.0499,106534032416.8089,11119.968314810782,-16623.314816075253,-171895117792.07648,84663012755.29451,8836.228768422006,17941.832457941724,12627239089.0258,-191197045172.1046,-19956.197083232808,-1318.5176418665255
160371180117.2418,104865928267.19771,10945.85963116364,-16738.465226896486,-171002147929.45096,86452551882.82167,9023.006291272985,17848.625120294437,10630967812.2083,-191318480150.02054,-19968.865922436624,-1110.1598933980113
161457010890.5232,103186400151.12836,10770.558669836802,-16851.792071024505,-170090549301.20544,88232672974.72894,9208.800697882009,17753.473456541582,8633538410.68132,-191419073125.8585,-19979.359367718815,-901.6813855171171
162525252749.05978,101495631044.09099,10594.084530970926,-16963.283005285684,-169160421231.8454,90003182115.12613,9393.591748676781,17656.38783630332,6635168482.784781,-191498813159.21808,-19987.67627964769,-693.1048310176977
163575789335.43622,99793805145.90044,10416.456442464834,-17072.925886582452,-168211865064.3821,91763886435.62848,9577.359313476967,17557.378839879762,4636075728.945171,-191557691581.52988,-19993.815755941767,-484.4529532973534
164608506221.328,98081107860.62212,10237.693757879191,-17180.708773215436,-167244984149.2841,93514594136.36708,9760.083373687157,17456.45725709637,2636477927.955501,-191595701996.99033,-19997.777131566316,-275.7484838809927
165623290919.96176,96357725776.3672,10057.815954326534,-17286.61992618325,-166259883833.20938,95255114506.88315,9941.744024477704,17353.634086126724,636592913.2468438,-191612840283.2515,-19999.559978804202,-67.01415994354207
166620032898.36478,94623846644.95897,9876.842630347832,-17390.647810460458,-165256671447.5198,96985257946.9026,10122.321476953051,17248.920532292475,-1363361450.8458676,-191609104591.8628,-19999.16410730085,141.72727816792244
167598623589.4005,92879659361.47208,9694.793503775853,-17492.78109625312,-164235456296.58044,98704835986.99013,10301.796060307463,17142.32800684071,-3363167292.8212733,-191584495348.46353,-19996.589564083293,350.4530894123549
168558956403.59137,91125353943.6473,9511.688409585548,-17593.00866023201,-163196349645.84296,100413661309.0795,10480.148223967775,17033.868125699,-5362606757.749619,-191539015252.7282,-19991.836633553256,559.1405345329609
169500926740.7237,89361121511.18465,9327.547297731657,-17691.319586743288,-162139464709.7161,102111547766.87878,10657.358539723082,16923.55270820805,-7361462031.008813,-191472669278.06488,-19984.905837454673,767.7668785351868
170424432001.23782,87587154264.9162,9142.390230973915,-17787.70316899653,-161064916639.2232,103798310406.14691,10833.407703840989,16811.393775832243,-9359515362.015907,-191385464671.0647,-19975.797934814826,976.3093931642106
171329371597.3997,85803645465.86131,8956.237382689917,-17882.14891022986,-159972822509.44968,105473765484.84091,11008.276539170323,16697.403550848136,-11356549087.951477,-191277410950.70377,-19964.513921860143,1184.745359381661
172215646964.25183,84010789414.16614,8769.109034675917,-17974.64652485244,-158863301306.7793,107137730493.1309,11181.945997229948,16581.59445501111,-13352345657.47418,-191148519907.29855,-19951.05503190577,1393.052069841295
173083161570.34555,82208781427.931,8581.025574935955,-18065.185939563635,-157736473915.92416,108790024173.2797,11354.397160283606,16463.979108200252,-15346687654.423082,-190998805601.21222,-19935.422735219487,1601.2068313633652
173931820928.2505,80397817821.92586,8392.007495459351,-18153.757294449166,-156592463106.74695,110430466539.38715,11525.61124340039,16344.570327041734,-17339357821.505005,-190828284361.31433,-19917.618738859645,1809.1869674074076
174761532604.84073,78578095886.19777,8202.075389986918,-18240.350944053916,-155431393520.87775,112058878896.99481,11695.56959650073,16223.381123510719,-19330139083.96439,-190636974783.19403,-19897.644986487554,2016.9698205431757
175572206231.3596,76749813864.57286,8011.249951766112,-18324.957458431465,-154253391658.1274,113675083862.55038,11864.253706387732,16100.424703511962,-21318814573.23325,-190424897727.12466,-19875.50365815375,2224.53275491946
176363753513.25537,74913170933.05334,7819.551971295397,-18407.567624169948,-153058585862.69824,115278905382.72845,12031.645198763446,15975.714465439387,-23305167650.558163,-190192076315.7832,-19851.197170058782,2431.8531587305115
177136088239.79553,73068367178.11429,7627.002334058019,-18488.17244539447,-151847106309.1939,116870168753.60672,12197.725840230063,15849.263998714601,-25288981930.602356,-189938535931.72244,-19824.728174288033,2638.908446679808
177889126293.44934,71215603574.90042,7433.622018245464,-18566.763144745604,-150619084988.43063,118448700639.69441,12362.47754027562,15721.087082304639,-27270041305.01982,-189664304214.59634,-19796.09955852101,2845.6760624409117
178622785659.0464,69355081965.32666,7239.432092470836,-18643.331164334264,-149374655693.04825,120014329092.81273,12525.882353244186,15591.19768321914,-29248129965.999126,-189369411058.1409,-19765.314445714946,3052.1334811150873
179336986432.70212,67487005036.08449,7044.453713472442,-18717.8681666725,-148113954002.92883,121566883570.8223,12687.922480290212,15459.60995498692,-31223032429.774364,-189053888606.9084,-19732.376193762597,3258.2582116855147
180031650830.51642,65611576296.55628,6848.70812380779,-18790.366035580213,-146837117270.4171,123106194956.19829,12848.580271316834,15326.338236112428,-33194533560.100384,-188717771252.75638,-19697.288395124575,3464.027799467724
180706703197.03952,63729000056.64023,6652.2166495382435,-18860.816877067926,-145544284605.35034,124632095574.4502,13007.838226897959,15191.397048511799,-35162418591.69021,-188361095631.0919,-19660.05487643614,3669.4198285560606
181362070013.50583,61839481404.48792,6455.00069790467,-18929.213020195162,-144235596859.89502,126144419212.38353,13165.679000183794,15054.801095929219,-37126473153.611916,-187983900616.87296,-19620.679698088406,3874.411924265866
181997679905.83618,59943226184.15775,6257.081754994235,-18995.54701790453,-142911196613.19504,127643001136.20322,13322.085398789903,14916.565262333314,-39086483292.64183,-187586227320.36246,-19579.167153784085,4078.981755571151
182613463652.4045,58040440973.18586,6058.481383398622,-19059.81164783144,-141571228155.83206,129127678109.45474,13477.04038666924,14776.704610293946,-41042235496.5729,-187168119082.6421,-19535.521770067808,4283.107037537453
183209354191.57092,56131333060.07736,5859.221219863999,-19121.999913089337,-140215837474.09744,130598288410.80203,13630.527085967193,14635.234379339672,-42993516717.47401,-186729621470.8809,-19489.748305831108,4486.765533749631
183785286628.98062,54216110421.7204,5659.322972932928,-19182.105043030213,-138845172234.08206,132054671851.64072,13782.528778859301,14492.16998429583,-44940114394.898994,-186270782273.3626,-19441.851751792154,4689.935058734357
184341198244.62338,52294981700.72516,5458.80842057845,-19240.120493980598,-137459381765.5819,133496669793.54384,13933.028909371586,14347.527013603572,-46881816479.04217,-185791651494.27048,-19391.837329949976,4892.593480376998
184877028499.6595,50368156182.690704,5257.699407830676,-19296.03994995271,-136058617045.82204,134924125165.53874,14082.011085183121,14201.321227620041,-48818411453.83813,-185292281348.23087,-19339.710493013754,5094.7187223326355
185392719043.006,48435843773.401985,5056.017844396115,-19349.857323330834,-134643030683.00328,136336882481.2125,14229.459079410834,14053.568556899825,-50749688360.00327,-184772726254.61584,-19285.47692380689,5296.288766431003
185888213717.68448,46498254975.959206,4853.785702269948,-19401.56675553286,-133212776899.66898,137734787855.64526,14375.356832376145,13904.285100457828,-52675436818.016106,-184233042831.6059,-19229.14253464604,5497.281655075023
186363458566.93127,44555600867.84238,4651.025013341607,-19451.162617646623,-131768011515.8969,139117689022.16922,14519.688453353427,13753.487124013931,-54595447051.03481,-183673289890.01276,-19170.71346669498,5697.675493632688
186818401840.0658,42608093077.9138,4447.75786699381,-19498.63951104147,-130308891932.31802,140485435348.94907,14662.438222300034,13601.191058219398,-56509509907.748344,-183093528426.86404,-19110.19608929378,5897.4484528220755
