# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
7.842628325683905e-12,2.5627122821864076e-11,4.438224815219921e-17,1.7042568423431334e-16,-461983763.6098364,258128580.77235186,-2650.5078596492867,1322.1781375267065
7.919584495939103e-12,2.5922767587009666e-11,4.4346503035568796e-17,1.7044564589251936e-16,-466579586.09747654,260421047.88705274,-2648.37316128412,1320.9860272986489
7.996121736337242e-12,2.6217071304306813e-11,4.4311590406073524e-17,1.7046512229319265e-16,-471150390.0940533,262700819.25140768,-2646.288179050665,1319.8228966504494
8.072599257626538e-12,2.6511408319538177e-11,4.427732347246576e-17,1.7048421893440528e-16,-475717627.66545063,264978602.06312993,-2644.2417577756078,1318.682445237233
8.149018158812835e-12,2.680577798679897e-11,4.424368400993139e-17,1.7050294706587041e-16,-480281364.4442979,267254434.8956559,-2642.2328090730557,1317.5640012261422
8.2253795080376e-12,2.7100179679219148e-11,4.4210654485393387e-17,1.7052131749095425e-16,-484841664.2200004,269528355.1856611,-2640.2602858676487,1316.4669194401276
8.301684343743423e-12,2.7394612788212294e-11,4.4178218024578504e-17,1.705393405888133e-16,-489398589.00835234,271800399.27792966,-2638.323180427785,1315.3905800359805
8.378289852338368e-12,2.7690452793907185e-11,4.414621083335625e-17,1.7055710820219426e-16,-493973469.9816418,274081206.6270279,-2636.411710967993,1314.3294981648717
8.454484410530214e-12,2.798494711992413e-11,4.4114914945344025e-17,1.705744646794697e-16,-498523808.99685955,276349594.83863395,-2634.542720535903,1313.292969341994
8.530625407590433e-12,2.827947113691545e-11,4.408416508005874e-17,1.705915026662036e-16,-503070949.3412969,278616209.9052518,-2632.7063385810643,1312.275460774242
8.606713773646954e-12,2.8574024302696316e-11,4.405394670741494e-17,1.706082310395274e-16,-507614946.5621924,280881084.20615685,-2630.901697366774,1311.2764423193437
8.682750414192715e-12,2.886860609012048e-11,4.4024245817215886e-17,1.7062465834511923e-16,-512155854.73558456,283144249.2225234,-2629.127960204089,1310.295403629409
8.75909116678651e-12,2.916459273347492e-11,4.399491362397275e-17,1.7064086753253907e-16,-516714924.4804852,285416299.37059224,-2627.376241623612,1309.3273909567024
8.83502674700322e-12,2.945923036800392e-11,4.396620989638443e-17,1.706567157771982e-16,-521249797.3310262,287676129.19786096,-2625.662055012036,1308.3809337856671
8.910913182816187e-12,2.975389512527259e-11,4.3937984455060407e-17,1.7067228678797055e-16,-525781735.2777762,289934339.25511223,-2623.9764316561686,1307.4510330223513
8.986751289471761e-12,3.004858653301315e-11,4.391022515017354e-17,1.706875879298437e-16,-530310787.0072466,292190957.74618447,-2622.318645968328,1306.537248829692
9.062541861599532e-12,3.034330413144588e-11,4.388292024683691e-17,1.7070262630567397e-16,-534836999.9747171,294446012.12911916,-2620.687997141067,1305.6391570251114
9.138285673913363e-12,3.0638047472836886e-11,4.385605840732514e-17,1.7071740876785526e-16,-539360420.4460987,296699529.14258856,-2619.083808085424,1304.7563483836436
9.214337103130821e-12,3.0934193603398614e-11,4.382950616834257e-17,1.7073200926623642e-16,-543902211.7989649,298962054.71463567,-2617.4981083733837,1303.8844066203196
9.289989433792898e-12,3.122898724888232e-11,4.380349989386774e-17,1.7074629839061638e-16,-548420168.9861035,301212567.56769264,-2615.9450136617497,1303.0310601123374
9.365597219175797e-12,3.1523805360350504e-11,4.3777904841549695e-17,1.7076035079165056e-16,-552935465.9291687,303461619.31215405,-2614.4164771373153,1302.1918507225846
9.441161160684136e-12,3.181864753425287e-11,4.375271110355011e-17,1.7077417242373404e-16,-557448144.5160465,305709234.0480433,-2612.91190710398,1301.3664228545645
9.516681942894865e-12,3.211351337714553e-11,4.372790909291599e-17,1.707877690405847e-16,-561958245.6296715,307955435.271841,-2611.4307310289096,1300.5544328962335
9.592160234099992e-12,3.2408402505351225e-11,4.3703489530540765e-17,1.7080114620370508e-16,-566465809.180442,310200245.8967368,-2609.972394763857,1299.7555487146847
9.667949096410846e-12,3.270469269148139e-11,4.3679331930722576e-17,1.7081437030587535e-16,-570991920.0376475,312454168.4702423,-2608.5297029027156,1298.9658053330852
9.743344156866937e-12,3.2999627381251894e-11,4.3655652282035517e-17,1.7082732355283018e-16,-575494513.0480855,314696258.1584858,-2607.1155542831225,1298.192237424957
9.818698641462014e-12,3.329458425908071e-11,4.363232893154904e-17,1.7084007297874065e-16,-579994682.8681028,316937022.77588445,-2605.72268379207,1297.43084170958
9.894013158285518e-12,3.358956297728169e-11,4.360935371455012e-17,1.7085262345193342e-16,-584492465.812803,319176483.0862634,-2604.350603832897,1296.681327450511
9.969288301548472e-12,3.388456319643852e-11,4.358671871778679e-17,1.7086497968492143e-16,-588987897.3684659,321414659.3595551,-2602.9988418261905,1295.9434132164654
1.004487613357484e-11,3.418096323894372e-11,4.356431282156053e-17,1.7087720265545358e-16,-593502002.6970792,323662021.31033844,-2601.6607617035597,1295.2134574162747
1.0120074081638757e-11,3.447600557019956e-11,4.354233698531821e-17,1.708891830976845e-16,-597992824.1554574,325897682.649077,-2600.3483647631638,1294.4979854062467
1.0195234362244992e-11,3.477106842973948e-11,4.3520679010176283e-17,1.7090098258298348e-16,-602481396.113261,328132118.03869444,-2599.0549504876876,1293.7933201441815
1.0270357518131237e-11,3.5066151508727744e-11,4.3499331896932387e-17,1.7091260525949404e-16,-606967750.9827877,330365345.92285424,-2597.780100884759,1293.0992139029752
1.0345444080130492e-11,3.536125450538016e-11,4.347828885349678e-17,1.7092405514793726e-16,-611451920.4653828,332597384.32411385,-2596.523410330783,1292.4154265651418
1.042049456752196e-11,3.565637712474797e-11,4.3457543287202664e-17,1.709353361465119e-16,-615933935.5724014,334828250.8568066,-2595.284485111701,1291.7417253302644
1.0495859942678584e-11,3.595289829145921e-11,4.3436993889175194e-17,1.709465035971955e-16,-620434755.7767551,337068379.27000487,-2594.0572750614965,1291.0748051754313
1.0570839631428904e-11,3.624805938610347e-11,4.3416825577266036e-17,1.7095745729771756e-16,-624912542.7889247,339296948.0591913,-2592.8528234742816,1290.42065018025
1.0645784739653518e-11,3.6543239256321306e-11,4.339693606137543e-17,1.7096825312987633e-16,-629388264.6520985,341524395.5711203,-2591.6650215852937,1289.7759230837328
1.072069574362711e-11,3.683843763253668e-11,4.3377319477018984e-17,1.7097889454594512e-16,-633861949.8094007,343750737.9048785,-2590.493519167524,1289.1404177161094
1.0795573109642819e-11,3.713365425104606e-11,4.3357970125462286e-17,1.7098938489703021e-16,-638333626.1078591,345975990.80883306,-2589.3379758925616,1288.513933949306
1.0870417294293382e-11,3.7428888853847544e-11,4.333888246784317e-17,1.7099972743678236e-16,-642803320.8151882,348200169.69087064,-2588.198060979546,1287.896277475317
1.094557825481061e-11,3.7725520913515024e-11,4.331996371597157e-17,1.7100997264392498e-16,-647291933.3772771,350433675.5767224,-2587.068233117777,1287.2844337047673
1.1020357259150604e-11,3.802079081401183e-11,4.330138460240743e-17,1.710200282951881e-16,-651757735.5164624,352655746.4803905,-2585.9586884557248,1286.683910211322
1.1095104398349715e-11,3.831607795626161e-11,4.328305144686447e-17,1.7102994535977855e-16,-656221634.6694335,354876787.7065711,-2584.863832406698,1286.0916631139714
1.1169820092777204e-11,3.861138210349757e-11,4.326495929665275e-17,1.7103972673510436e-16,-660683655.9406419,357096813.3949792,-2583.7833691960536,1285.5075193795199
1.1244504754367487e-11,3.8906703023884925e-11,4.324710333306113e-17,1.7104937523739702e-16,-665143823.930814,359315837.3907851,-2582.7170110503603,1284.9313108226022
1.131950756619263e-11,3.920342061049173e-11,4.322939704569281e-17,1.7105893778164107e-16,-669622991.85301,361544235.6078231,-2581.6595915687226,1284.360235680346
1.139413122494075e-11,3.949877447648675e-11,4.3212000562483286e-17,1.7106832808644264e-16,-674079516.7534467,363761292.0919377,-2580.6206735914493,1283.7994466776079
1.1468725040076346e-11,3.979414444736102e-11,4.3194826548590175e-17,1.7107759351966265e-16,-678534259.3933464,365977386.7926621,-2579.5950414817544,1283.2461150057156
1.1543289391957953e-11,4.008953030969888e-11,4.3177870678089804e-17,1.710867365998091e-16,-682987242.4877167,368192532.4551834,-2578.5824368954745,1282.7000902593745
1.1617824653573088e-11,4.0384931854373817e-11,4.3161128738050676e-17,1.7109575977732023e-16,-687438488.3113714,370406741.5685342,-2577.5826082363374,1282.1612260983995
1.1692331190730209e-11,4.068034887643311e-11,4.3144596624830404e-17,1.7110466543686876e-16,-691888018.7103938,372620026.37248856,-2576.5953104348246,1281.6293801101585
1.1767157325053366e-11,4.0977161735295025e-11,4.312819452647638e-17,1.711134967096581e-16,-696356635.4521729,374842734.93045324,-2575.6157771211206,1281.1019764991831
1.184160735283652e-11,4.127260918341471e-11,4.31120711101014e-17,1.7112217371266115e-16,-700802791.1113831,377054202.69008315,-2574.652886695211,1280.5837858798461
1.191602971393737e-11,4.1568071517112195e-11,4.3096145812955753e-17,1.7113073998892562e-16,-705247294.5163265,379264781.4830113,-2573.7018279496738,1280.0722078613421
1.1990424747215287e-11,4.1863548547067405e-11,4.308041493478151e-17,1.711391976810245e-16,-709690165.9036837,381474482.61542803,-2572.762379905109,1279.5671144891892
1.2064792785221427e-11,4.215904008761128e-11,4.3064874868139244e-17,1.7114754887597384e-16,-714131425.1334102,383683317.1754828,-2571.834327125231,1279.0683811268154
1.2139481481835093e-11,4.24559268585312e-11,4.3049450787791806e-17,1.711558339010742e-16,-718591834.0951778,385901611.70533717,-2570.9132010468843,1278.5735994278236
1.221379638012109e-11,4.275144694308823e-11,4.303428272992936e-17,1.7116397767516893e-16,-723029919.8208156,388108741.61693347,-2570.007364631339,1278.0872532388698
1.2288085245948521e-11,4.304698100139408e-11,4.301929517408415e-17,1.711720209064121e-16,-727466450.8880298,390315037.0162482,-2569.1123077962634,1277.6069114690165
1.2362348388137981e-11,4.3342528861485745e-11,4.300448485633448e-17,1.711799654767164e-16,-731901445.7395852,392520508.1729152,-2568.227835620253,1277.1324617304533
1.2436586109943519e-11,4.3638090354608406e-11,4.298984859201674e-17,1.7118781322079116e-16,-736334922.4858105,394725165.1649676,-2567.3537579151994,1276.6637944543215
1.2510798709187215e-11,4.3933665315135424e-11,4.297538327331026e-17,1.7119556592762547e-16,-740766898.9126449,396929017.8836309,-2566.4898890820473,1276.2008028021726
1.2585333092376215e-11,4.4230634865046856e-11,4.2961019446080306e-17,1.712032609172654e-16,-745218092.2766908,399142368.8521176,-2565.6320813198795,1275.7412580208897
1.265949620486551e-11,4.452623633668518e-11,4.294688775492024e-17,1.7121082831672184e-16,-749647113.3545512,401344638.32721776,-2564.788136723804,1275.2893329253477
1.273363505826256e-11,4.482185079612575e-11,4.2932918110776444e-17,1.7121830579325014e-16,-754074685.6794221,403546132.1707636,-2563.9538695755373,1274.8427780270815
1.2807749929907024e-11,4.51174780895141e-11,4.2919107691078884e-17,1.7122569496651802e-16,-758500825.8140287,405746859.570948,-2563.129111311203,1274.4014965995286
1.2881841092322481e-11,4.541311806575827e-11,4.2905453739270964e-17,1.7123299741710088e-16,-762925550.0334796,407946829.55098563,-2562.3136973092305,1273.9653942507168
1.2955908813328696e-11,4.57087705764623e-11,4.2891953562872467e-17,1.7124021468766375e-16,-767348874.3319697,410146050.9730811,-2561.5074667747126,1273.5343788527066
1.3030299304687061e-11,4.6005817116396546e-11,4.287854250369897e-17,1.7124738142456811e-16,-771791474.4758906,412354804.0974028,-2560.7065583208673,1273.10638132478
1.310432082156094e-11,4.6301494318186307e-11,4.286534273604333e-17,1.7125443243636115e-16,-776212039.463599,414552550.96785784,-2559.9182681964676,1272.6852949005013
1.3178319674514804e-11,4.659718362413805e-11,4.2852289020852665e-17,1.712614026864772e-16,-780631250.9620034,416749574.9777615,-2559.138700325287,1272.269031563574
