# DUREE_SEC:5175446400.0|PAS:1000.0000|INTERVALLE:1000000.00
Soleil_X,Soleil_Y,Soleil_VX,Soleil_VY,Mercure_X,Mercure_Y,Mercure_VX,Mercure_VY,Venus_X,Venus_Y,Venus_VX,Venus_VY,Terre_X,Terre_Y,Terre_VX,Terre_VY,Mars_X,Mars_Y,Mars_VX,Mars_VY,Jupiter_X,Jupiter_Y,Jupiter_VX,Jupiter_VY,Saturne_X,Saturne_Y,Saturne_VX,Saturne_VY,Uranus_X,Uranus_Y,Uranus_VX,Uranus_VY,Neptune_X,Neptune_Y,Neptune_VX,Neptune_VY
1725724426.2651124,59202596561.96503,-13.766459580145264,19.524759751105325,-43581023160.42211,91539048126.01462,-28134.28262655485,-40434.03835792514,71070470657.48026,142237849321.35208,-26904.43818590775,22462.240660635358,98003411214.1571,173660695849.29742,-22816.80961888612,19183.600914465012,-92051787817.33165,-146584780022.53766,22009.24028713961,-10146.949343736836,-298773745883.2247,-659712620143.2798,12034.968752766572,-5007.924475717454,742083973699.931,-1173196960954.057,8224.133658841203,5043.212999983752,-2031298272077.7163,2061937639031.5168,-4783.47771734034,-4860.638016235139,-1065798155156.4537,-4256004014875.565,5302.979143801259,-1344.4492089846904
1711932187.9485106,59222036492.690704,-13.819407806010616,19.354958135109637,-51754805531.73731,44399932900.15929,12921.42317940473,-47681.53545879539,41029619063.04105,159994416371.6791,-32651.875769181468,12739.81022750644,73433208791.7767,190454348332.77188,-26161.237045254045,14292.469588875894,-69547318446.06586,-155533288215.2163,22956.392602502507,-7733.57119673838,-286697167770.3929,-664619451295.6971,12117.622522095286,-4805.506375931137,750291466006.551,-1168126236547.154,8190.788763921514,5098.199428470768,-2036075935280.756,2057071280159.4377,-4771.844096563374,-4872.075115453267,-1060494369008.2451,-4257345197229.292,5304.59180703804,-1337.9151909530797
1698083503.4786062,59241305758.07506,-13.878704264541755,19.183155918087923,-21108909071.076694,7935869314.00652,44225.099670891446,-20695.52977117376,6901305269.638139,167273852870.90982,-35007.422165767515,1691.228819809073,46025884578.50322,202056686963.80783,-28472.183283233386,8835.248945587879,-46227140665.73883,-162023672872.18283,23639.235173165715,-5235.471022394267,-274539634587.75534,-669323179459.6184,12196.875073376881,-4601.727981196686,758465427079.1777,-1163000635293.5234,8157.071423437691,5152.966267806838,-2040841951097.5522,2052193498036.5042,-4760.1829558909585,-4883.48450697056,-1055188974233.852,-4258679844644.2217,5306.19639584712,-1331.3793331672503
1684173629.3949656,59260402165.69609,-13.941571532961538,19.00946437887807,25828092778.04424,7444490197.19824,43869.1404788628,19415.100091207238,-27767881585.834965,163317327430.89777,-33723.70629922588,-9535.311585498916,16864512956.088835,208007813078.35602,-29657.603147417012,3027.402485488117,-22359304161.581055,-165985633994.87537,24050.81530482025,-2681.596926597725,-262304558852.46924,-673822472851.4062,12272.703966462663,-4396.64637743954,766605485173.0219,-1157820378057.76,8122.983041961969,5207.510968556779,-2045596292041.3765,2047304320403.3093,-4748.49436170046,-4894.866125028585,-1049881978908.6752,-4260007955285.9546,5307.792908275698,-1324.8416463280678
1670199103.7120852,59279324442.99826,-14.008269045001411,18.834969994631535,56806055874.63636,41803764375.80286,14615.32074744834,45116.205368430106,-59372586306.57697,148534484393.98422,-28931.770670329603,-19771.516753265514,-12897747409.086815,208071094922.59888,-29669.852511473644,-2901.46397511788,1782774929.9140651,-167378073113.41644,24187.3561603544,-101.34524277747474,-249995375046.42273,-678116056959.9192,12345.087713371335,-4190.319020398692,774711269956.8713,-1152585688249.5305,8088.525042011494,5261.830990021392,-2050338930691.998,2042403775066.1448,-4736.778380601986,-4906.219903976949,-1044573391110.0784,-4261329527330.7607,5309.381342360739,-1318.3021411402628
1656155126.4490857,59298071625.00935,-14.080851455107231,18.658953033406906,51983743630.19578,87595073465.07108,-23737.30557227044,41165.90320175095,-84624075223.37447,124462343294.19806,-21128.413646803252,-27950.77336056962,-42083197819.53247,202242828386.43396,-28507.677342040413,-8716.64089386023,25923493491.498608,-166189366537.4751,24048.257521366977,2475.788339262761,-237615538659.73407,-682202714906.845,12414.005787073973,-3982.80371731252,782782412530.8422,-1147296791814.7532,8053.698863662487,5315.923800478476,-2055069839695.8994,2037491889896.905,-4725.0350794213555,-4917.545778252501,-1039263218917.3884,-4262644558965.667,5310.961696132057,-1311.7608283066897
1642034804.9159682,59316640837.24635,-14.161161458481521,18.478329390038922,14369529234.119007,114798441746.91481,-47196.151118317866,9792.315898142717,-100893516228.65263,93606404451.97258,-11125.139456715688,-33219.85868235569,-69536228364.19247,190752696641.97418,-26216.382962611387,-14187.614789089455,49788222471.49899,-162437293776.4777,23636.058444871393,5020.548883932011,-225168525225.92447,-686081287790.5815,12479.438628810258,-3774.158611910173,790818545443.7947,-1141953917226.3682,8018.505964294304,5369.7868776665055,-2059788991766.4917,2032568692833.0105,-4713.264525170123,-4928.843682385122,-1033951470411.9048,-4263953048388.377,5312.533967615688,-1305.217718527192
1627830199.2621493,59335025051.88246,-14.249153963779875,18.287979486954324,-31605865094.23022,104314488053.63313,-38946.94539061597,-29799.844485937978,-106486963183.63954,59180112849.83562,36.208922742455236,-35028.671926348725,-94169189615.10727,174054958322.58017,-22886.151528117203,-19097.248402386133,73106412503.90758,-156168631647.48907,22956.364278918853,7504.250179236678,-212657829350.69995,-689750675015.1285,12541.367653968347,-3564.4421689777314,798819302710.5724,-1136557295474.7034,7982.947818538471,5423.417709101069,-2064496359684.2822,2027634211877.2942,-4701.466785026485,-4940.113551014865,-1028638153676.9052,-4265254993807.3022,5314.098154835115,-1298.6728224994297
1613535154.4885263,59353211630.03591,-14.34101914364207,18.082236888457324,-53765278243.71972,62010540156.6766,-2332.0522073132274,-49386.7416569767,-100822833001.54982,24769754121.265526,11192.370617800494,-33188.268032315405,-115005672117.06306,152810671707.11145,-18648.554497967572,-23250.466949106012,95614610030.41518,-147458427910.17978,22017.74115584175,9899.087162388989,-200086963734.64465,-693209834603.0521,12599.775258553263,-3353.713158251501,806784319829.2646,-1131107160057.6096,7947.0259181721485,5476.8137923062595,-2069191916297.0347,2022688475097.8872,-4689.641926326062,-4951.355318904984,-1023323276797.6418,-4266550393441.544,5315.654255812313,-1292.1261509190144
1599149461.0327861,59371183470.71834,-14.428980327354259,17.858547764402193,-35661877310.196884,17790246364.927727,36040.73866818965,-33339.59910875068,-84492911738.37918,-6040021821.488983,21180.594276808366,-27890.838740266772,-131219443829.42549,127861629313.96373,-13671.382933006793,-26482.09438784693,117059352927.22325,-136408971491.33424,20831.58103205138,12178.429894118757,-187459458189.19073,-696457783493.0801,12654.64482588762,-3142.0306402439282,814713233798.2415,-1125603746970.237,7910.74177199208,5529.972635187428,-2073875634519.92,2017731510628.0881,-4677.790016551524,-4962.568920958889,-1018006847861.3481,-4267839245520.8955,5317.202268568872,-1285.5777144809838
