# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
122622787122.71065,49638285094.95755,-23691.6780547178,8150.574245275635,34530317924.64971,-29611127399.643208,30213.000192986103,-22017.47984456443,-157153105047.361,-20027157695.314156,-6521.322138268389,13866.905599288719
120210841455.1403,50418851523.115814,-24545.892415862494,7451.2286515837395,37568860488.68406,-31779329968.366707,30558.56959075975,-21336.24223154588,-157779701943.82498,-18639521554.748917,-6012.677174897358,13885.013579962051
117713961382.9372,51126603598.110054,-25389.508713487216,6694.079139365538,40642076857.007706,-33876301449.014366,30905.47443919411,-20592.78231928653,-158356038239.94556,-17250302149.095543,-5515.9657257069985,13898.703179920924
115133470977.34178,51755708397.940475,-26217.17268348822,5878.177401190415,43749792811.30551,-35895805363.11109,31247.48876469961,-19786.903672342574,-158883263788.64755,-15859903034.829226,-5030.31608121147,13908.72627115211
112471249343.51286,52300270622.96704,-27023.149513729935,5003.241791545003,46891191460.535484,-37831614005.452705,31577.997203666873,-18918.99668776313,-159362440804.04855,-14468656617.514174,-4554.847689937004,13915.754896218095
109729764780.05664,52754404456.20557,-27801.40594355759,4069.760159047922,50064778340.19375,-39677572583.850815,31890.07985002751,-17990.146609691263,-159794543120.25067,-13076831872.354626,-4088.673906469993,13920.386450643304
106912099458.22119,53112315286.64561,-28545.717843484133,3079.083193539127,53268356234.93252,-41427673720.11299,32176.621964387865,-17002.231654661846,-160180455693.15414,-11684641566.532415,-3630.9041209037773,13923.148461122677
104021962078.94829,53368390010.85486,-29249.802857978677,2033.5014584050023,56499012209.44017,-43076140986.137924,32430.448225145148,-15958.00439986399,-160520974288.38907,-10292249024.716856,-3180.6453671665113,13924.50294145895
101063686101.61208,53517293921.694214,-29907.475758898592,936.2988956792137,59753119206.07985,-44617519441.09811,32644.47925615043,-14861.14921041471,-160816805307.69272,-8899774480.596052,-2737.0034972518974,13924.850314735459
98042211482.05635,53554071477.11321,-30512.821956569194,-208.22418656027753,63026354232.20087,-46046770418.94233,32811.90595505191,-13716.308708558929,-161068565714.25803,-7507301058.170869,-2299.083998482803,13924.53289511917
94963048426.5282,53474247584.622444,-31060.382352298384,-1394.7646694066455,66313734598.294044,-47359367157.594955,32926.37487391236,-12529.073256793734,-161276783024.82278,-6114880427.027478,-1865.9925216140693,13923.837926200358
91832222455.45052,53273925516.44297,-31545.340661615584,-2617.0709736354356,69609672887.1568,-48551387340.45758,32982.17584046896,-11305.92920154771,-161441895342.6077,-4722538175.98536,-1436.8351788534485,13923.000175183131
88656201040.49135,52949877265.83449,-31963.70280118125,-3868.039927094715,72908050370.21669,-49619598316.33145,32974.42146400245,-10054.164156670417,-161564251410.70874,-3330278949.50299,-1010.7186628212495,13922.204083765122
85441803162.9965,52499622134.746155,-32312.457212325276,-5139.854759983872,76202307507.2865,-50561530743.652176,32899.20744252875,-8781.730717379372,-161644110670.2835,-1938091391.0939925,-586.7502302035176,13921.585477363244
82196094247.73657,51921489650.270004,-32589.705317258606,-6424.159456283659,79485549064.18633,-51375536712.44669,32753.7429048061,-7497.0733783217065,-161681643311.9235,-545952937.8232895,-164.03758754754017,13921.232834605356
78926269942.62973,51214663550.12441,-32794.752767398604,-7712.261435898498,82750660369.4429,-52060829040.358215,32536.441478894452,-6208.926682943305,-161676930312.07324,846165490.2338951,258.3112885040997,13921.188118841792
75639533030.6898,50379204520.949455,-32928.15467509229,-8995.35185043851,85990430418.70561,-52617499382.790344,32246.966307042327,-4926.095322513885,-161629963449.3958,2238294861.840947,681.1883680499745,13921.44717295238
72342968279.09848,49416050541.32011,-32991.71137215191,-10264.731031880026,89197677019.59985,-53046513965.44221,31886.22557651277,-3657.228646163391,-161540645298.69864,3630463424.122189,1105.485795639141,13921.959678043411
69043420188.62582,48326994964.89698,-32988.41501838981,-11512.026099034696,92365369013.97887,-53349687031.04195,31456.318915060983,-2410.602576815128,-161408789202.60522,5022692066.145007,1532.0961033287967,13922.628675849825
65747378385.1039,47114643751.376755,-32922.351120047424,-12729.388483569355,95486740838.64465,-53529633364.267395,30960.43873746265,-1193.921170318546,-161234119223.74902,6414989612.890671,1961.912382584724,13923.309653887898
62460874821.16819,45782354388.938255,-32798.56224876843,-13909.66106961801,98555395261.867,-53589702394.75122,30402.733862837707,-14.148122128953581,-161016270083.03543,7807348005.813039,2395.828385930716,13923.809191746976
